vector_size,GFLOPS
2,0.0607903
3,0.0980392
4,0.138889
5,0.157729
6,0.185759
7,0.202899
8,0.21164
9,0.227848
10,0.232558
11,0.257009
12,0.258621
13,0.281385
14,0.28169
15,0.280899
16,0.263591
17,0.296167
18,0.304569
19,0.317726
20,0.309598
21,0.32967
22,0.311615
23,0.325318
24,0.33195
25,0.342936
26,0.359116
27,0.359043
28,0.363165
29,0.37037
30,0.353357
31,0.370813
32,0.375587
33,0.388235
34,0.394432
35,0.398633
36,0.404494
37,0.405257
38,0.397074
39,0.412698
40,0.40568
41,0.405539
42,0.41502
43,0.411877
44,0.416272
45,0.41021
46,0.423573
47,0.423805
48,0.425532
49,0.425347
50,0.419463
51,0.428932
52,0.416667
53,0.42915
54,0.433387
55,0.430023
56,0.4375
57,0.432473
58,0.432836
59,0.436068
60,0.444774
61,0.445581
62,0.447977
63,0.447126
64,0.448493
65,0.451389
66,0.450512
67,0.452703
68,0.445026
69,0.452163
70,0.455433
71,0.449652
72,0.44665
73,0.449507
74,0.457921
75,0.459559
76,0.454545
77,0.462185
78,0.460449
79,0.462259
80,0.463499
81,0.46445
82,0.464589
83,0.460599
84,0.461538
85,0.461205
86,0.460632
87,0.464495
88,0.463402
89,0.463542
90,0.463679
91,0.460759
92,0.461616
93,0.468278
94,0.468127
95,0.459159
96,0.468064
97,0.469506
98,0.471607
99,0.464571
100,0.473261
101,0.473511
102,0.47486
103,0.472477
104,0.475973
105,0.475975
106,0.475977
107,0.473033
108,0.470178
109,0.479332
110,0.477845
111,0.479482
112,0.480069
113,0.476391
114,0.481826
115,0.480167
116,0.482529
117,0.481878
118,0.482815
119,0.44486
120,0.286396
121,0.281395
122,0.480504
123,0.456909
124,0.47455
125,0.477281
126,0.487805
127,0.0893297
128,0.489484
129,0.458585
130,0.460829
131,0.452504
132,0.462995
133,0.449628
134,0.452703
135,0.459028
136,0.464481
137,0.458654
138,0.465744
139,0.466443
140,0.46558
141,0.464733
142,0.468492
143,0.46671
144,0.464966
145,0.46061
146,0.462611
147,0.46726
148,0.466583
149,0.456216
150,0.462535
151,0.468653
152,0.467261
153,0.463215
154,0.470373
155,0.467995
156,0.465533
157,0.469217
158,0.469679
159,0.467647
160,0.470727
161,0.465991
162,0.469974
163,0.470962
164,0.472078
165,0.472238
166,0.472665
167,0.4657
168,0.467967
169,0.470883
170,0.473142
171,0.471985
172,0.474221
173,0.473713
174,0.467994
175,0.472845
176,0.473883
177,0.474149
178,0.474035
179,0.475684
180,0.473684
181,0.470252
182,0.467866
183,0.475448
184,0.470468
185,0.47014
186,0.474732
187,0.471865
188,0.475348
189,0.446809
190,0.465915
191,0.472421
192,0.473723
193,0.472807
194,0.461905
195,0.472155
196,0.468787
197,0.473672
198,0.474479
199,0.472235
200,0.474947
201,0.465386
202,0.470205
203,0.475187
204,0.472113
205,0.474867
206,0.473346
207,0.474771
208,0.472298
209,0.465894
210,0.468645
211,0.472988
212,0.452895
213,0.474705
214,0.474186
215,0.4743
216,0.472855
217,0.463873
218,0.476086
219,0.476709
220,0.475779
221,0.475167
222,0.475986
223,0.475378
224,0.474677
225,0.475989
226,0.474989
227,0.470759
228,0.472637
229,0.47768
230,0.461384
231,0.475113
232,0.474244
233,0.292898
234,0.290359
235,0.293091
236,0.290462
237,0.288637
238,0.283333
239,0.231656
240,0.481638
241,0.478649
242,0.45738
243,0.478441
244,0.466628
245,0.442398
246,0.462841
247,0.458596
248,0.4505
249,0.306386
250,0.298258
251,0.318771
252,0.104521
253,0.475743
254,0.476548
255,0.515881
256,0.463013
257,0.481093
258,0.480179
259,0.456871
260,0.483182
261,0.480221
262,0.47671
263,0.485419
264,0.483339
265,0.471782
266,0.484871
267,0.484134
268,0.483667
269,0.482079
270,0.433526
271,0.45669
272,0.440058
273,0.451389
274,0.46159
275,0.476686
276,0.467638
277,0.409824
278,0.487377
279,0.26065
280,0.48628
281,0.457655
282,0.480655
283,0.480884
284,0.486135
285,0.482234
286,0.486477
287,0.486606
288,0.484115
289,0.487024
290,0.456765
291,0.482667
292,0.497191
293,0.523588
294,0.519802
295,0.517907
296,0.516489
297,0.50433
298,0.523542
299,0.523459
300,0.500334
301,0.478766
302,0.504426
303,0.497292
304,0.523957
305,0.470679
306,0.48083
307,0.485606
308,0.469655
309,0.477737
310,0.283909
311,0.297864
312,0.292354
313,0.28944
314,0.517639
315,0.524039
316,0.519908
317,0.52293
318,0.51615
319,0.488066
320,0.522705
321,0.517408
322,0.522219
323,0.510833
324,0.520649
325,0.309141
326,0.471098
327,0.482799
328,0.483348
329,0.486399
330,0.481541
331,0.480825
332,0.519724
333,0.518127
334,0.307353
335,0.320513
336,0.296951
337,0.258119
338,0.485911
339,0.456689
340,0.488015
341,0.48763
342,0.469974
343,0.486939
344,0.484098
345,0.472473
346,0.474167
347,0.48654
348,0.484477
349,0.487771
350,0.471254
351,0.470699
352,0.277449
353,0.477285
354,0.484998
355,0.477215
356,0.473404
357,0.486973
358,0.313595
359,0.477267
360,0.308246
361,0.487114
362,0.487936
363,0.475629
364,0.48774
365,0.488033
366,0.485411
367,0.490314
368,0.49047
369,0.487129
370,0.489418
371,0.489059
372,0.486784
373,0.485298
374,0.488187
375,0.474083
376,0.463397
377,0.30189
378,0.467764
379,0.4854
380,0.474289
381,0.304459
382,0.303995
383,0.168812
384,0.442447
385,0.484642
386,0.138944
387,0.288075
388,0.522629
389,0.269689
390,0.517791
391,0.528807
392,0.528943
393,0.510721
394,0.298485
395,0.299742
396,0.486128
397,0.497931
398,0.487865
399,0.486289
400,0.486559
401,0.48671
402,0.478514
403,0.525835
404,0.519347
405,0.488187
406,0.487746
407,0.479613
408,0.474805
409,0.473489
410,0.464379
411,0.489694
412,0.490827
413,0.484628
414,0.48438
415,0.489271
416,0.448083
417,0.490185
418,0.49136
419,0.472699
420,0.482537
421,0.488456
422,0.49167
423,0.491004
424,0.483246
425,0.487106
426,0.486246
427,0.491143
428,0.484053
429,0.474453
430,0.491148
431,0.472122
432,0.510337
433,0.52702
434,0.529979
435,0.527656
436,0.528357
437,0.529697
438,0.528475
439,0.527962
440,0.529801
441,0.516938
442,0.530676
443,0.530793
444,0.531609
445,0.529573
446,0.531712
447,0.53151
448,0.530617
449,0.527305
450,0.528045
451,0.528784
452,0.513053
453,0.527542
454,0.522921
455,0.527108
456,0.527656
457,0.526862
458,0.528137
459,0.527647
460,0.526919
461,0.482874
462,0.48
463,0.489016
464,0.483888
465,0.487524
466,0.485923
467,0.488749
468,0.48588
469,0.480582
470,0.489941
471,0.491957
472,0.485397
473,0.492042
474,0.490683
475,0.473202
476,0.486459
477,0.463512
478,0.491365
479,0.489575
480,0.491049
481,0.481626
482,0.489788
483,0.483145
484,0.489235
485,0.484952
486,0.485854
487,0.490137
488,0.487123
489,0.484638
490,0.523337
491,0.151072
492,0.369647
493,0.529424
494,0.528908
495,0.261946
496,0.35789
497,0.480565
498,0.486946
499,0.483621
500,0.319693
501,0.27582
502,0.309209
503,0.492365
504,0.491324
505,0.492587
506,0.49174
507,0.49147
508,0.4922
509,0.489094
510,0.113092
511,0.474334
512,0.476989
